Orcid,Année,Titre,Type,Source,Auteurs,contact
0000-0002-6322-6352,2020,Seasonal variability of groundwater level effects on the growth of Carex cinerascens in lake wetlands,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85076761236&partnerID=MN8TOARS,"['Feng, W.', 'Mariotte, P.', 'Xu, L.', 'Buttler, A.', 'Bragazza, L.', 'Jiang, J.', 'Santonja, M.']",Mathieu Santonja
0000-0002-6322-6352,2018,Temporal Shifts in Plant Diversity Effects on Carbon and Nitrogen Dynamics During Litter Decomposition in a Mediterranean Shrubland Exposed to Reduced Precipitation,journal-article,,"['Mathieu Santonja', 'Alexandru Milcu', 'Nathalie Fromin', 'Anaïs Rancon', 'Ammar Shihan', 'Catherine Fernandez', 'Virginie Baldy', 'Stephan Hättenschwiler']",Mathieu Santonja
0000-0002-6322-6352,2019,Temporal Shifts in Plant Diversity Effects on Carbon and Nitrogen Dynamics During Litter Decomposition in a Mediterranean Shrubland Exposed to Reduced Precipitation,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85056455113&partnerID=MN8TOARS,"['Santonja, M.', 'Milcu, A.', 'Fromin, N.', 'Rancon, A.', 'Shihan, A.', 'Fernandez, C.', 'Baldy, V.', 'Hättenschwiler, S.']",Mathieu Santonja
0000-0002-6322-6352,2018,Feeding behaviour of epi-anecic earthworm species and their impacts on soil microbial communities,journal-article,,"['Kevin Hoeffner', 'Cécile Monard', 'Mathieu Santonja', 'Daniel Cluzeau']",Mathieu Santonja
0000-0002-6322-6352,2018,Feeding behaviour of epi-anecic earthworm species and their impacts on soil microbial communities,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85049308234&partnerID=MN8TOARS,"['Hoeffner, K.', 'Monard, C.', 'Santonja, M.', 'Cluzeau, D.']",Mathieu Santonja
0000-0002-6322-6352,2018,Increasing temperature and decreasing specific leaf area amplify centipede predation impact on Collembola,journal-article,,"['Mathieu Santonja', 'Adriane Aupic-Samain', 'Estelle Forey', 'Matthieu Chauvat']",Mathieu Santonja
0000-0002-6322-6352,2018,Increasing temperature and decreasing specific leaf area amplify centipede predation impact on Collembola,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85052892991&partnerID=MN8TOARS,"['Santonja, M.', 'Aupic-Samain, A.', 'Forey, E.', 'Chauvat, M.']",Mathieu Santonja
0000-0002-6322-6352,2018,"Sponge inventory of the French Mediterranean waters, with an emphasis on cave-dwelling species",journal-article,,"['MARIE GRENIER', 'CÉSAR RUIZ', 'MAIA FOURT', 'MATHIEU SANTONJA', 'MAUDE DUBOIS', 'MICHELLE KLAUTAU', 'JEAN VACELET', 'NICOLE BOURY-ESNAULT', 'THIERRY PÉREZ']",Mathieu Santonja
0000-0002-6322-6352,2018,"Sponge inventory of the French mediterranean waters, with an emphasis on cave-dwelling species",journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85052705326&partnerID=MN8TOARS,"['Grenier, M.', 'Ruiz, C.', 'Fourt, M.', 'Santonja, M.', 'Dubois, M.', 'Klautau, M.', 'Vacelet, J.', 'Boury-Esnault, N.', 'Pérez, T.']",Mathieu Santonja
0000-0002-6322-6352,2018,Distance interaction between marine cave-dwelling sponges and crustaceans,journal-article,,"['Mathieu Santonja', 'Stéphane Greff', 'Marie Le Croller', 'Olivier P. Thomas', 'Thierry Pérez']",Mathieu Santonja
0000-0002-6322-6352,2018,Distance interaction between marine cave-dwelling sponges and crustaceans,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85049506272&partnerID=MN8TOARS,"['Santonja, M.', 'Greff, S.', 'Le Croller, M.', 'Thomas, O.P.', 'Pérez, T.']",Mathieu Santonja
0000-0002-6322-6352,2018,Seasonal dependence and functional implications of macrophyte-phytoplankton allelopathic interactions,journal-article,,"['Mathieu Santonja', 'Bertrand Le Rouzic', 'Gabrielle Thiébaut']",Mathieu Santonja
0000-0002-6322-6352,2018,Seasonal dependence and functional implications of macrophyte–phytoplankton allelopathic interactions,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85051418293&partnerID=MN8TOARS,"['Santonja, M.', 'Le Rouzic, B.', 'Thiébaut, G.']",Mathieu Santonja
0000-0002-6322-6352,2018,Functionally or phylogenetically distinct neighbors turn antagonism among decomposing litter species into synergy,journal-article,,"['L Barbe', 'C Mony', 'V Jung', 'M Santonja', 'I Bartish', 'A Prinzing']",Mathieu Santonja
0000-0002-6322-6352,2018,Functionally or phylogenetically distinct neighbours turn antagonism among decomposing litter species into synergy,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85043373380&partnerID=MN8TOARS,"['Barbe, L.', 'Mony, C.', 'Jung, V.', 'Santonja, M.', 'Bartish, I.', 'Prinzing, A.']",Mathieu Santonja
0000-0002-6322-6352,2018,Macroinvertebrate identity mediates the effects of litter quality and microbial conditioning on leaf litter recycling in temperate streams,journal-article,,"['Mathieu Santonja', 'Laura Pellan', 'Christophe Piscart']",Mathieu Santonja
0000-0002-6322-6352,2018,Macroinvertebrate identity mediates the effects of litter quality and microbial conditioning on leaf litter recycling in temperate streams,journal-article,http://www.scopus.com/inward/record.url?eid=2-s2.0-85041348827&partnerID=MN8TOARS,"['Santonja, M.', 'Pellan, L.', 'Piscart, C.']",Mathieu Santonja
