Contact,Fonction,Sigle structure
Dominique Masse,DIR,Eco&Sols
Adrien Duvivier,INGE,CEREGE
Fabien De Bellis,INGE,AGAP
Frederic Rees,CR,ECOSYS
Ghislain Gassier,INGE,CEREGE
Johannes Stuttmann,CR,BIAM
Komi Assigbetse,CR,Eco&Sols
Laurent Cournac,DIR,Eco&Sols
Laurent Laplaze,DIR,DIADE
Ludovic Henneron,PROFESSEUR,ECODIV
Mariama Gueye,DOC,DIADE
Marie-Ange Palomares,INGE,BIAM
Sylvain Fochesato,ASSIST. INGE,BIAM
Thierry Heulin,DIR,BIAM
Vincent Garin,POSTDOC,AGAP
Vincent Vadez,CR,DIADE
Wafa Achouak,DIR,BIAM
Soulemane Diop,POSTDOC,LG-ENS
Vladimir Vidal,INGE,CEREGE
Puu Tai Yang,POSTDOC,CEREGE
Floriane Jamoteau,CR,CEREGE
Sitor Ndour,POSTDOC,BIAM
Juliette Sébastien,DOC,ECODIV
Marcel Nahim Diouf,POSTDOC,LMI-IESOL
X,POSTDOC,LG-ENS
Bertrand Guenet,DIR,LG-ENS
Xavier Raynaud,MAITRE_DE_CONF,iEES
Lucas Auer,INGE,IAM
Laurent Augusto,DIR,ISPA
François Baudin,PROFESSEUR,iSTeP
Julien Sainte-Marie,INGE,SILVA
Tobias Boelscher,CR,ECOSYS
Marie Anne Alexis,MAITRE_DE_CONF,METIS
Gwenaëlle Lashermes,DIR,FARE
Valérie Pot,CR,ECOSYS
Nicolas Fanin,CR,ISPA
Frida Keuper,CR,BioEcoAgro
Mubarak Mahmud,POSTDOC,Agroécologie
Delphine Derrien,CR,BEF
Guillaume Humbert,CR,FARE
Julien Fouché,MAITRE_DE_CONF,LISAH
Hugues Clivot,INGE,FARE
Séverine Piutti,PROFESSEUR,LAE
Clémentine Chirol,CR,ECOSYS
Gonzague Alavoine,INGE,FARE
Marc Buée,DIR,IAM
Catherine Henault,DIR,Agroécologie
Fabien Ferchaud,INGE,Eco&Sols
Arnaud Legout,CR,BEF
Angélique Gainvors-Claisse,MAITRE_DE_CONF,FARE
Maryse Rouelle,PROFESSEUR,METIS
Pascal Thiebeau,INGE,FARE
Olivier Delfosse,INGE,FARE
Charlotte Stutzmann,INGE,SILVA
Nicolas Delpierre,PROFESSEUR,ESE
